Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project.PrjPcb|ReportField=ProjectFullPath~X:\Users\emilia\Desktop\ITBA\3er año\Electronica 3\TP2\tp2-grupo-2\Ej7\AltiumProject\PCB_Project\PCB_Project.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~23|ReportField=ReportTime~4:25:05 AM|ReportField=ReportDate~10/10/2019|ReportField=ReportDateTime~10/10/2019 4:25:05 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project.PrjPcb|ReportField=DataSourceFullPath~X:\Users\emilia\Desktop\ITBA\3er año\Electronica 3\TP2\tp2-grupo-2\Ej7\AltiumProject\PCB_Project\PCB_Project.PrjPcb
Rótulo||||Rótulo|1
BORNERA4||AsincOut, SincOut|BORNERA4|BORNERA 4|2
BORNERA 2||CLK, Supply|BORNERA2|BORNERA 2|2
CD4511|BCD to 7 SEGMENTOS|Dec|DIP16|CD4511|1
Dpy Red-CC|7.62 mm Black Surface HER 7-Segment Display: CC, RH DP|DS1|A|Dpy Red-CC|1
JUMPER||JA, JS|JUMPER3|JUMPER3|2
TP||Q0A, Q0S, Q1A, Q1S, Q2A, Q2S, ZS|TPTH|TP|7
SN74ALS86N|Quadruple 2-Input Exclusive-OR Gate|U1, U2|N014|SN74ALS86N|2
SN74ALS08N|Quadruple 2-Input Positive-AND Gate|U3|N014|SN74ALS08N|1
SN74ALS32N|Quadruple 2-Input Positive-OR Gate|U4|N014|SN74ALS32N|1
SN74LS74AN|Dual D-Type Positive-Edge-Triggered Flip-Flop with Preset and Clear|U5, U6, U7|N014D|SN74LS74AN|3
